Column1,A,B,C
Timnit,,O,
Gebru,,O,
(,,O,
Amharic,,O,
:,,O,
????,,O,
???,,O,
;,,O,
Tigrinya,,O,
:,,O,
????,,O,
???,,O,
;,,O,
born,,O,
13, B,B,B
May, I,I,I
1983, I,I,I
), O,O,
is,,O,
an,,O,
Eritrean,,O,
Ethiopian-born,,O,
computer,,O,
scientist,,O,
who,,O,
works,,O,
on,,O,
algorithmic,,O,
bias,,O,
and,,O,
data,,O,
mining,,O,
.,,O,
She,,O,
is,,O,
an,,O,
advocate,,O,
for,,O,
diversity,,O,
in,,O,
technology,,O,
and,,O,
co-founder,,O,
of,,O,
Black,,O,
in,,O,
AI,,O,
,,O,
a,,O,
community,,O,
of,,O,
Black,,O,
researchers,,O,
working,,O,
in,,O,
artificial,,O,
intelligence,,O,
(,,O,
AI,,O,
),,O,
.,,O,
In,,O,
December, B,B,B
2020, I,I,I
,,O,
Gebru,,O,
was,,O,
the,,O,
center,,O,
of,,O,
a,,O,
public,,O,
controversy,,O,
stemming,,O,
from,,O,
her,,O,
abrupt,,O,
and,,O,
contentious,,O,
departure,,O,
from,,O,
Google,,O,
as,,O,
technical,,O,
co-lead,,O,
of,,O,
the,,O,
Ethical,,O,
Artificial,,O,
Intelligence,,O,
Team,,O,
.,,O,
Higher,,O,
management,,O,
had,,O,
requested,,O,
she,,O,
withdraw,,O,
an,,O,
as-yet-unpublished,,O,
paper,,O,
or,,O,
remove,,O,
the,,O,
names,,O,
of,,O,
all,,O,
Google,,O,
coauthors,,O,
,,O,
and,,O,
said,,O,
that,,O,
the,,O,
paper,,O,
ignored,,O,
recent,,O,
research,,O,
.,,O,
She,,O,
requested,,O,
insight,,O,
into,,O,
the,,O,
decision,,O,
and,,O,
warned,,O,
that,,O,
non-compliance,,O,
would,,O,
result,,O,
in,,O,
her,,O,
negotiating,,O,
her,,O,
departure,,O,
.,,O,
Google,,O,
terminated,,O,
her,,O,
employment,,O,
immediately, B,O,B
,,O,
stating,,O,
they,,O,
were,,O,
accepting,,O,
her,,O,
resignation,,O,
.,,O,
Gebru,,O,
has,,O,
been,,O,
recognized,,O,
widely,,O,
for,,O,
her,,O,
expertise,,O,
in,,O,
technology,,O,
and,,O,
artificial,,O,
intelligence,,O,
.,,O,
She,,O,
was,,O,
named,,O,
one,,O,
of,,O,
the,,O,
World,,O,
's,,O,
50,,O,
Greatest,,O,
Leaders,,O,
by,,O,
Fortune,,O,
and,,O,
one,,O,
of,,O,
Nature,,O,
's,,O,
ten,,O,
people,,O,
who,,O,
shaped,,O,
science,,O,
in,,O,
2021, B,B,B
,,O,
and, I,O,
in, I,O,
2022, I,B,B
,,O,
one,,O,
of,,O,
Time, B,O,
's, O,O,
most,,O,
influential,,O,
people,,O,
.,,O,
Early, B,O,
life, I,O,
and, O,O,
education,,O,
.,,O,
Gebru,,O,
was,,O,
born,,O,
and,,O,
raised,,O,
in,,O,
Addis,,O,
Ababa,,O,
,,O,
Ethiopia,,O,
,,O,
on,,O,
13, B,B,B
May, I,I,I
1983, I,I,I
., O,O,
When,,O,
Gebru,,O,
was,,O,
15, B,O,
,,O,
during,,O,
the, B,O,
Eritrean?Ethiopian, I,O,
War, I,O,
,,O,
she,,O,
fled,,O,
Ethiopia,,O,
after,,O,
some,,O,
of,,O,
her,,O,
family,,O,
was,,O,
deported,,O,
to,,O,
Eritrea,,O,
and,,O,
compelled,,O,
to,,O,
fight,,O,
in,,O,
the,,O,
war,,O,
.,,O,
She,,O,
was,,O,
initially,,O,
denied,,O,
a,,O,
U.S.,,O,
visa,,O,
and,,O,
briefly, B,O,
lived, O,O,
in,,O,
Ireland,,O,
,,O,
but,,O,
she,,O,
eventually,,O,
received,,O,
political,,O,
asylum,,O,
in,,O,
the,,O,
U.S,,O,
.,,O,
In,,O,
2001, B,B,B
,,O,
Gebru,,O,
was,,O,
accepted,,O,
at,,O,
Stanford,,O,
University,,O,
.,,O,
There,,O,
she,,O,
earned,,O,
her,,O,
Bachelor,,O,
of,,O,
Science,,O,
and,,O,
Master,,O,
of,,O,
Science,,O,
degrees,,O,
in,,O,
electrical,,O,
engineering,,O,
and,,O,
her,,O,
PhD,,O,
in,,O,
computer,,O,
vision,,O,
in,,O,
2017, B,B,B
., O,O,
Gebru,,O,
was,,O,
advised,,O,
during,,O,
her,,O,
PhD,,O,
program,,O,
by,,O,
Fei-Fei,,O,
Li,,O,
.,,O,
During,,O,
the,,O,
2008, B,B,B
United, I,O,
States, I,O,
presidential, I,O,
election, I,O,
,,O,
Gebru,,O,
canvassed,,O,
in,,O,
support,,O,
of,,O,
Barack,,O,
Obama,,O,
.,,O,
Gebru,,O,
presented,,O,
her,,O,
doctoral,,O,
research,,O,
at,,O,
the,,O,
2017, B,B,B
LDV, I,O,
Capital, I,O,
Vision, I,O,
Summit, I,O,
competition, I,O,
,,O,
where,,O,
computer,,O,
vision,,O,
scientists,,O,
present,,O,
their,,O,
work,,O,
to,,O,
members,,O,
of,,O,
industry,,O,
and,,O,
venture,,O,
capitalists,,O,
.,,O,
Gebru,,O,
won,,O,
the,,O,
competition,,O,
,,O,
starting,,O,
a,,O,
series,,O,
of,,O,
collaborations,,O,
with,,O,
other,,O,
entrepreneurs,,O,
and,,O,
investors,,O,
.,,O,
Career,,O,
.,,O,
2004, B,B,B
-, I,I,I
2013, I,I,I
:, O,O,
Software,,O,
development,,O,
at,,O,
Apple,,O,
.,,O,
Gebru,,O,
joined,,O,
Apple,,O,
as,,O,
an,,O,
intern,,O,
while,,O,
at,,O,
Stanford,,O,
in,,O,
2003, B,B,B
,,O,
and,,O,
was,,O,
offered,,O,
a,,O,
full-time,,O,
position,,O,
the, B,B,B
following, I,I,I
year, I,I,I
., O,O,
During,,O,
her,,O,
tenure,,O,
at,,O,
Apple,,O,
,,O,
Gebru,,O,
became,,O,
more,,O,
interested,,O,
in,,O,
building,,O,
software,,O,
,,O,
namely,,O,
computer,,O,
vision,,O,
that,,O,
could,,O,
detect,,O,
human,,O,
figures,,O,
.,,O,
She,,O,
went,,O,
on,,O,
to,,O,
develop,,O,
signal,,O,
processing,,O,
algorithms,,O,
for,,O,
the,,O,
first,,O,
iPad,,O,
.,,O,
2013, B,B,B
-, I,I,
2017, I,I,B
:, O,O,
Research,,O,
at,,O,
Stanford,,O,
and,,O,
Microsoft,,O,
.,,O,
In,,O,
2013, B,B,B
,,O,
Gebru,,O,
joined,,O,
Fei-Fei,,O,
Li,,O,
's,,O,
lab,,O,
at,,O,
Stanford,,O,
.,,O,
She,,O,
used,,O,
data,,O,
mining,,O,
of,,O,
publicly,,O,
available,,O,
images,,O,
.,,O,
In,,O,
the, B,O,
summer, I,B,B
of, I,I,I
2017, I,I,I
,,O,
Gebru,,O,
joined,,O,
Microsoft,,O,
as,,O,
a,,O,
postdoctoral,,O,
researcher,,O,
in,,O,
the,,O,
Fairness,,O,
,,O,
Accountability,,O,
,,O,
Transparency,,O,
,,O,
and,,O,
Ethics,,O,
in,,O,
AI,,O,
(,,O,
FATE,,O,
),,O,
lab,,O,
.While,,O,
at,,O,
Microsoft,,O,
,,O,
Gebru,,O,
co-authored,,O,
a,,O,
research,,O,
paper,,O,
called,,O,
``,,O,
Gender,,O,
Shades,,O,
'',,O,
that,,O,
investigated,,O,
facial,,O,
recognition,,O,
software,,O,
,,O,
finding,,O,
that,,O,
Black,,O,
women,,O,
were,,O,
35,,O,
%,,O,
less,,O,
likely,,O,
to,,O,
be,,O,
recognised,,O,
than,,O,
White,,O,
men,,O,
.,,O,
2018, B,B,B
-, I,I,I
2020, I,I,I
:, O,O,
Artificial,,O,
intelligence,,O,
ethics,,O,
at,,O,
Google,,O,
.,,O,
Gebru,,O,
joined,,O,
Google,,O,
in,,O,
2018, B,B,B
,,O,
where,,O,
she,,O,
co-led,,O,
a,,O,
team,,O,
on,,O,
the,,O,
ethics,,O,
of,,O,
artificial,,O,
intelligence,,O,
with,,O,
Margaret,,O,
Mitchell,,O,
.,,O,
She,,O,
studied,,O,
the,,O,
implications,,O,
of,,O,
artificial,,O,
intelligence,,O,
,,O,
looking,,O,
to,,O,
improve,,O,
the,,O,
ability,,O,
of,,O,
technology,,O,
to,,O,
do,,O,
social,,O,
good,,O,
.,,O,
In,,O,
December, B,B,B
2020, I,I,I
,,O,
her,,O,
employment,,O,
with,,O,
Google,,O,
ended,,O,
after,,O,
higher,,O,
Google,,O,
managers,,O,
asked,,O,
her,,O,
to,,O,
either,,O,
withdraw,,O,
the,,O,
as-yet-unpublished,,O,
paper,,O,
or,,O,
remove,,OO,
the,,O,
names,,O,
of,,O,
all,,O,
the,,O,
Google,,O,
employees,,O,
from,,O,
that,,O,
paper,,O,
.,,O,
She,,O,
and,,O,
five,,O,
others,,O,
coauthored,,O,
a,,O,
research,,O,
paper,,O,
,,O,
``,,O,
On,,O,
the,,O,
Dangers,,O,
of,,O,
Stochastic,,O,
Parrots,,O,
:,,O,
Can,,O,
Language,,O,
Models,,O,
Be,,O,
Too,,O,
Big,,O,
?,,O,
``,,O,
,,O,
that,,O,
covered,,O,
the,,O,
risks,,O,
of,,O,
very,,O,
large,,O,
language,,O,
models,,O,
,,O,
regarding,,O,
their,,O,
environmental,,O,
and,,O,
financial,,O,
costs,,O,
,,O,
inscrutability,,O,
leading,,O,
to,,O,
unknown,,O,
dangerous,,O,
biases,,O,
,,O,
the,,O,
inability,,O,
of,,O,
the,,O,
models,,O,
to,,O,
understand,,O,
the,,O,
concepts,,O,
underlying,,O,
what,,O,
they,,O,
learn,,O,
,,O,
and,,O,
the,,O,
potential,,O,
for,,O,
using,,O,
them,,O,
to,,O,
deceive,,O,
people,,O,
.,,O,
2021, B,B,B
-, I,I,I
present, I,I,I
:, O,O,
Independent,,O,
research,,O,
.,,O,
In,,O,
June, B,B,B
2021, I,I,I
,,O,
Gebru,,O,
announced,,O,
that,,O,
she,,O,
was,,O,
raising,,O,
money,,O,
to,,O,
launch,,O,
an,,O,
independent,,O,
research,,O,
institute,,O,
modeled,,O,
on,,O,
her,,O,
work,,O,
on,,O,
Google,,O,
's,,O,
Ethical,,O,
AI,,O,
team,,O,
and,,O,
her,,O,
experience,,O,
in,,O,
Black,,O,
in,,O,
AI,,O,
.,,O,
On,,O,
2, B,B,B
December, I,I,I
2021, I,I,I
she, O,O,
launched,,O,
the,,O,
Distributed,,O,
Artificial,,O,
Intelligence,,O,
Research,,O,
Institute,,O,
(,,O,
DAIR,,O,
),,O,
,,O,
which,,O,
is,,O,
expected,,O,
to,,O,
document,,O,
the,,O,
effect,,O,
of,,O,
artificial,,O,
intelligence,,O,
on,,O,
marginalized,,O,
groups,,O,
,,O,
with,,O,
a,,O,
focus,,O,
on,,O,
Africa,,O,
and,,O,
African,,O,
immigrants,,O,
in,,O,
the,,O,
United,,O,
States,,O,
.,,O,
Text,,O,
from,,O,
https,,O,
:,,O,
//en.wikipedia.org/wiki/Timnit_Gebru,,O,
,,O,
adapted,,O,
by,,O,
the,,O,
teaching,,O,
team,,O,
.,,O,
